name,age,interests,activity_log
User23,35,"[np.str_('gaming 5'), np.str_('gardening 14')]","['Activity 5', 'Activity 5', 'Activity 14', 'Activity 14']"
User24,22,"[np.str_('science 6'), np.str_('travel 11'), np.str_('movies 12')]","['Activity 6', 'Activity 6', 'Activity 11', 'Activity 11', 'Activity 12']"
User25,18,"[np.str_('technology 1'), np.str_('travel 11')]","['Activity 1', 'Activity 11', 'Activity 11']"
User26,52,"[np.str_('science 6'), np.str_('cooking 8'), np.str_('gaming 5')]","['Activity 6', 'Activity 6', 'Activity 8', 'Activity 8', 'Activity 5', 'Activity 5']"
User27,55,"[np.str_('gaming 5'), np.str_('photography 10')]","['Activity 5', 'Activity 5', 'Activity 10', 'Activity 10']"
User28,55,"[np.str_('writing 13'), np.str_('cooking 8')]","['Activity 13', 'Activity 8']"
User29,26,[np.str_('reading 7')],['Activity 7']
User30,44,[np.str_('gaming 5')],"['Activity 5', 'Activity 5']"
User31,54,"[np.str_('writing 13'), np.str_('technology 1')]","['Activity 13', 'Activity 13', 'Activity 1']"
User32,28,"[np.str_('sports 9'), np.str_('dancing 15'), np.str_('gardening 14')]","['Activity 9', 'Activity 9', 'Activity 15', 'Activity 14']"
User33,36,"[np.str_('technology 1'), np.str_('cooking 8'), np.str_('science 6')]","['Activity 1', 'Activity 1', 'Activity 8', 'Activity 6']"
User34,57,"[np.str_('sports 9'), np.str_('movies 12'), np.str_('gaming 5')]","['Activity 9', 'Activity 12', 'Activity 12', 'Activity 5', 'Activity 5']"
User35,19,[np.str_('reading 7')],"['Activity 7', 'Activity 7']"
User36,30,"[np.str_('gardening 14'), np.str_('reading 7')]","['Activity 14', 'Activity 14', 'Activity 7']"
User37,45,"[np.str_('photography 10'), np.str_('travel 11'), np.str_('fitness 2')]","['Activity 10', 'Activity 11', 'Activity 2']"
User38,38,"[np.str_('travel 11'), np.str_('movies 12')]","['Activity 11', 'Activity 12', 'Activity 12']"
User39,36,[np.str_('travel 11')],['Activity 11']
User40,21,"[np.str_('gardening 14'), np.str_('reading 7'), np.str_('technology 1')]","['Activity 14', 'Activity 7', 'Activity 7', 'Activity 1', 'Activity 1']"
User41,46,"[np.str_('writing 13'), np.str_('art 4'), np.str_('gaming 5')]","['Activity 13', 'Activity 4', 'Activity 5']"
User42,25,"[np.str_('fitness 2'), np.str_('art 4'), np.str_('gardening 14')]","['Activity 2', 'Activity 2', 'Activity 4', 'Activity 4', 'Activity 14']"
User43,46,"[np.str_('fitness 2'), np.str_('technology 1'), np.str_('travel 11')]","['Activity 2', 'Activity 1', 'Activity 1', 'Activity 11']"
User44,46,[np.str_('travel 11')],"['Activity 11', 'Activity 11']"
User45,49,"[np.str_('science 6'), np.str_('movies 12')]","['Activity 6', 'Activity 6', 'Activity 12', 'Activity 12']"
User46,26,"[np.str_('science 6'), np.str_('cooking 8'), np.str_('gaming 5')]","['Activity 6', 'Activity 6', 'Activity 8', 'Activity 5']"
User47,22,"[np.str_('music 3'), np.str_('art 4')]","['Activity 3', 'Activity 4']"
User48,29,"[np.str_('sports 9'), np.str_('technology 1'), np.str_('cooking 8')]","['Activity 9', 'Activity 1', 'Activity 1', 'Activity 8', 'Activity 8']"
User49,37,"[np.str_('technology 1'), np.str_('gardening 14')]","['Activity 1', 'Activity 14', 'Activity 14']"
User50,30,"[np.str_('music 3'), np.str_('science 6'), np.str_('reading 7')]","['Activity 3', 'Activity 6', 'Activity 6', 'Activity 7']"
